Ref	Designation	SpType String	SpType	J-K	J-K_unc	NStars Publication.Table	NIR Paper: New Prism Data.Table	NIR Paper: New Optical Data.Table
20444	12212770+0257198	L0	10	1.216	0.035	4-NormalOptExcl		
20448	12321827-0951502	L0	10	1.173	0.04	3-NormalNIR		
20487	13313310+3407583	L0pec	10	1.448	0.035	4-NormalOptExcl		2-NewOpt
11190	1404449+463429	L0:	10	1.281	0.042	3-NormalNIR	1-NewNIR	
20562	14213145+1827407	L0	10	1.288	0.029	3-NormalNIR	1-NewNIR	
20638	15525906+2948485	L0β	10	1.456	0.038	5-WeirdOpt	1-NewNIR	
51421	16360078-0034525	L0	10	1.175	0.057	3-NormalNIR		
51440	16585033+1819597	L0pec	10	0.912000000000001	0.111	4-NormalOptExcl	1-NewNIR	
11682	1707333+430130	L0.5pec	10	1.35	0.04	3-NormalNIR	1-NewNIR	
11684	1711135+232633	L0γ	10	1.443	0.037	5-WeirdOpt	1-NewNIR	2-NewOpt
51464	17224432+6329470	L0pec	10	1.291	0.088	4-NormalOptExcl	1-NewNIR	
20744	17312974+2721233	L0pec	10	1.18	0.034	4-NormalOptExcl	1-NewNIR	
12120	2213449-213607	L0γ	10	1.62	0.052	5-WeirdOpt	1-NewNIR	
12177	2310185-175909	L0:	10	1.407	0.041	3-NormalNIR	1-NewNIR	
20993	23153135+0617146	L0γ	10	1.796	0.105	5-WeirdOpt	1-NewNIR	2-NewOpt
20993	23153135+0617146	L0γ	10	1.796	0.105	5-WeirdOpt	1-NewNIR	2-NewOpt
20999	23224684-3133231	L0:	10	1.253	0.036	4-NormalOptExcl		
51700	23312938+1552228	L0	10	1.057	0.079	3-NormalNIR		
10074	0117474-340325	L1β	11	1.689	0.052	5-WeirdOpt	1-NewNIR	2-NewOpt
10074	0117474-340325	L1β	11	1.689	0.052	5-WeirdOpt	1-NewNIR	2-NewOpt
10074	0117474-340325	L1β	11	1.689	0.052	5-WeirdOpt	1-NewNIR	2-NewOpt
10074	0117474-340325	L1β	11	1.689	0.052	5-WeirdOpt	1-NewNIR	2-NewOpt
10085	0141032+180450	L1	11	1.383	0.038	3-NormalNIR	1-NewNIR	
10085	0141032+180450	L1	11	1.383	0.038	3-NormalNIR	1-NewNIR	
10102	0213288+444445	L1.5pec	11	1.281	0.034	4-NormalOptExcl	1-NewNIR	
10111	0219280-193841	L1	11	1.2	0.043	4-NormalOptExcl		
20114	02271036-1624479	L1β	11	1.43	0.038	6-RejectedLowG	1-NewNIR	
50185	02355993-2331205	L1	11	1.484	0.17	3-NormalNIR		
10381	0518461-275645	L1γ	11	1.647	0.059	5-WeirdOpt	1-NewNIR	2-NewOpt
20230	05431887+6422528	L1	11	1.517	0.039	3-NormalNIR	1-NewNIR	
20236	06022216+6336391	L1:	11	1.583	0.038	3-NormalNIR	1-NewNIR	
20270	07231462+5727081	L1	11	1.357	0.04	3-NormalNIR	1-NewNIR	
50080	07511645-2530432	L1.5	11	1.17	0.034	4-NormalOptExcl		
20336	09211410-2104446	L1.5	11	1.089	0.033	4-NormalOptExcl	1-NewNIR	
20373	10224821+5825453	L1β	11	1.339	0.036	5-WeirdOpt	1-NewNIR	
10929	1045240-014957	L1	11	1.38	0.033	3-NormalNIR	1-NewNIR	
20387	10484281+0111580	L1	11	1.301	0.033	3-NormalNIR	1-NewNIR	
11115	1300425+191235	L1blue	11	1.093	0.03	4-NormalOptExcl	1-NewNIR	
11115	1300425+191235	L1blue	11	1.093	0.03	4-NormalOptExcl	1-NewNIR	
20581	14392836+1929149	L1	11	1.213	0.029	4-NormalOptExcl	1-NewNIR	
51218	14403186-1303263	L1	11	1.128	0.082	4-NormalOptExcl		
11756	1807159+501531	L1.5	11	1.332	0.035	3-NormalNIR	1-NewNIR	
20812	19223062+6610194	L1	11	1.409	0.05	4-NormalOptExcl	1-NewNIR	
20869	20343769+0827009	L1	11	1.384	0.046	3-NormalNIR	1-NewNIR	2-NewOpt
12054	2057540-025230	L1.5:	11	1.397	0.035	4-NormalOptExcl	1-NewNIR	
20902	21304464-0845205	L1	11	1.322	0.046	3-NormalNIR		
12147	2238074+435317	L1.5	11	1.32	0.038	3-NormalNIR	1-NewNIR	
12190	2330225-034718	L1:	11	1.354	0.045	3-NormalNIR	1-NewNIR	
20012	00154476+3516026	L2	12	1.614	0.038	3-NormalNIR		
20037	00452143+1634446	L2β	12	1.693	0.03	5-WeirdOpt	1-NewNIR	
20048	00550564+0134365	L2γ	12	1.998	0.133	5-WeirdOpt	1-NewNIR	2-NewOpt
10142	0241536-124106	L2:	12	1.674	0.093	3-NormalNIR	1-NewNIR	
10244	0408290-145033	L2	12	1.405	0.038	3-NormalNIR	1-NewNIR	
10329	0445538-304820	L2pec	12	1.418	0.033	4-NormalOptExcl	1-NewNIR	
10390	0523382-140302	L2.5	12	1.446	0.036	3-NormalNIR	1-NewNIR	
10397	0536199-192039	L2γ	12	1.914	0.097	5-WeirdOpt	1-NewNIR	2-NewOpt
20240	06160532-4557080	L2	12	1.559	0.057	4-NormalOptExcl	1-NewNIR	
20298	08230838+6125208	L2:	12	1.624	0.046	3-NormalNIR	1-NewNIR	
20307	08355829+0548308	L2:	12	1.365	0.05	3-NormalNIR	1-NewNIR	
10764	0847287-153237	L2pec	12	1.452	0.035	4-NormalOptExcl	1-NewNIR	
10828	0928397-160312	L2	12	1.707	0.067	4-NormalOptExcl	1-NewNIR	
11076	1231214+495923	L2	12	1.482	0.045	4-NormalOptExcl	1-NewNIR	
51060	13023811+5650212	L2	12	1.388	0.173	4-NormalOptExcl		
11122	1305401-254106	L2	12	1.667	0.035	4-NormalOptExcl		
20552	14090310-3357565	L2	12	1.383	0.039	3-NormalNIR		
11213	1430435+291540	L2	12	1.502	0.038	3-NormalNIR	1-NewNIR	
20694	16573454+1054233	L2	12	1.349	0.047	3-NormalNIR		
20866	20282035+0052265	L2	12	1.505	0.046	3-NormalNIR		
12037	2041428-350644	L2:	12	1.486	0.05	3-NormalNIR	1-NewNIR	
12059	2104149-103736	L2.5	12	1.472	0.038	3-NormalNIR	1-NewNIR	
20907	21371044+1450475	L2	12	1.318	0.045	3-NormalNIR		
20013	00165953-4056541	L3.5	13	1.884	0.072	4-NormalOptExcl		
50246	00345684-0706013	L3	13	1.589	0.088	3-NormalNIR		
20029	00361617+1821104	L3.5	13	1.408	0.034	3-NormalNIR	1-NewNIR	
20046	00531899-3631102	L3.5	13	1.508	0.039	4-NormalOptExcl		
10107	0218291-313322	L3	13	1.574	0.053	3-NormalNIR		
10151	0251148-035245	L3	13	1.397	0.033	4-NormalOptExcl		
13119	0325013+225303	L3.5	13	1.652	0.069	3-NormalNIR	1-NewNIR	
13119	0325013+225303	L3.5	13	1.652	0.069	3-NormalNIR	1-NewNIR	
10617	0700366+315726	L3:	13	1.606	0.033	3-NormalNIR	1-NewNIR	
20267	07171626+5705430	L3	13	1.691	0.041	4-NormalOptExcl		
20299	08234818+2428577	L3	13	1.609	0.052	3-NormalNIR		
40039	1004207+502300	L3β	13	2.053	0.058	5-WeirdOpt	1-NewNIR	
10949	1058478-154817	L3	13	1.623	0.045	3-NormalNIR	1-NewNIR	
20397	11000965+4957470	L3.5	13	1.808	0.054	3-NormalNIR	1-NewNIR	
11010	1146344+223052	L3	13	1.575	0.038	3-NormalNIR		
20435	12070374-3151298	L3:	13	1.853	0.087	3-NormalNIR	1-NewNIR	
11291	1506544+132106	L3	13	1.624	0.03	3-NormalNIR	1-NewNIR	
20625	15394189-0520428	L3.5	13	1.347	0.041	4-NormalOptExcl		
11658	1645220+300407	L3	13	1.603	0.054	3-NormalNIR	1-NewNIR	
11658	1645220+300407	L3	13	1.603	0.054	3-NormalNIR	1-NewNIR	
11694	1721039+334415	L3blue	13	1.136	0.03	4-NormalOptExcl		
11704	1726000+153819	L3.5γ	13	2.01	0.082	5-WeirdOpt	1-NewNIR	2-NewOpt
11704	1726000+153819	L3.5γ	13	2.01	0.082	5-WeirdOpt	1-NewNIR	2-NewOpt
20870	20360316+1051295	L3	13	1.503	0.037	3-NormalNIR		
40004	22081363+2921215	L3γ	13	1.649	0.112	5-WeirdOpt	1-NewNIR	
13206	2242531+254257	L3	13	1.764	0.052	3-NormalNIR	1-NewNIR	
21005	23392527+3507165	L3.5	13	1.774	0.066	4-NormalOptExcl	1-NewNIR	
13016	0025036+475919	L4	14	1.938	0.069	3-NormalNIR	1-NewNIR	
50456	03303511-0025346	L4	14	1.474	0.069	3-NormalNIR		
10196	0337036-175807	L4.5	14	2.04	0.071	3-NormalNIR	1-NewNIR	
20179	04070752+1546457	L4β	14	1.919	0.069	5-WeirdOpt	1-NewNIR	
20179	04070752+1546457	L4β	14	1.919	0.069	5-WeirdOpt	1-NewNIR	
20198	05012406-0010452	L4γ	14	2.019	0.052	5-WeirdOpt		
10954	1104012+195921	L4	14	1.43	0.039	3-NormalNIR		
50062	11263991-5003550	L4.5blue	14	1.168	0.043	4-NormalOptExcl		
20570	14283132+5923354	L4	14	1.516	0.046	3-NormalNIR	1-NewNIR	
20622	15382417-1953116	L4γ	14	1.93	0.081	5-WeirdOpt	1-NewNIR	2-NewOpt
20636	15515237+0941148	L4γ	14	2.009	0.125	5-WeirdOpt	1-NewNIR	2-NewOpt
20636	15515237+0941148	L4γ	14	2.009	0.125	5-WeirdOpt	1-NewNIR	2-NewOpt
20636	15515237+0941148	L4γ	14	2.009	0.125	5-WeirdOpt	1-NewNIR	2-NewOpt
20636	15515237+0941148	L4γ	14	2.009	0.125	5-WeirdOpt	1-NewNIR	2-NewOpt
20636	15515237+0941148	L4γ	14	2.009	0.125	5-WeirdOpt	1-NewNIR	2-NewOpt
20636	15515237+0941148	L4γ	14	2.009	0.125	5-WeirdOpt	1-NewNIR	2-NewOpt
11538	1615425+495321	L4γ	14	2.483	0.155	5-WeirdOpt	1-NewNIR	2-NewOpt
11538	1615425+495321	L4γ	14	2.483	0.155	5-WeirdOpt	1-NewNIR	2-NewOpt
50091	18212815+1414010	L4.5	14	1.781	0.032	3-NormalNIR		
20791	18410861+3117279	L4:pec	14	1.938	0.115	3-NormalNIR	1-NewNIR	
20817	19285196-4356256	L4	14	1.742	0.057	3-NormalNIR		
12091	2151254-244100	L4	14	2.103	0.095	3-NormalNIR	1-NewNIR	
12091	2151254-244100	L4	14	2.103	0.095	3-NormalNIR	1-NewNIR	
12096	2154345-105530	L4β	14	2.241	0.139	6-RejectedLowG	1-NewNIR	2-NewOpt
12101	2158045-155009	L4:	14	1.855	0.054	3-NormalNIR		
12113	2206449-421720	L4γ	14	1.946	0.086	5-WeirdOpt	1-NewNIR	
12113	2206449-421720	L4γ	14	1.946	0.086	5-WeirdOpt	1-NewNIR	
12128	2224438-015852	L4.5	14	2.051	0.035	3-NormalNIR	1-NewNIR	
40005	22495345+0044046	L4γ	14	2.229	0.143	5-WeirdOpt	1-NewNIR	2-NewOpt
40005	22495345+0044046	L4γ	14	2.229	0.143	5-WeirdOpt	1-NewNIR	2-NewOpt
20994	23174712-4838501	L4pec	14	1.969	0.048	3-NormalNIR		
20004	00043484-4044058	L5	15	1.713	0.035	3-NormalNIR		
10088	0144353-071614	L5	15	1.923	0.035	4-NormalOptExcl	1-NewNIR	
10088	0144353-071614	L5	15	1.923	0.035	4-NormalOptExcl	1-NewNIR	
10088	0144353-071614	L5	15	1.923	0.035	4-NormalOptExcl	1-NewNIR	
13076	0205034+125142	L5	15	2.008	0.067	3-NormalNIR	1-NewNIR	
10170	0310140-275645	L5	15	1.836	0.094	3-NormalNIR	1-NewNIR	
10184	0326422-210205	L5β	15	2.212	0.115	5-WeirdOpt	1-NewNIR	
20171	03552337+1133437	L5γ	15	2.524	0.032	5-WeirdOpt	1-NewNIR	
20171	03552337+1133437	L5γ	15	2.524	0.032	5-WeirdOpt	1-NewNIR	
20175	03582255-4116060	L5	15	2.008	0.1	3-NormalNIR	1-NewNIR	
20175	03582255-4116060	L5	15	2.008	0.1	3-NormalNIR	1-NewNIR	
10372	0512063-294954	L5γ	15	2.178	0.071	5-WeirdOpt	1-NewNIR	2-NewOpt
20244	06244595-4521548	L5	15	1.885	0.039	3-NormalNIR	1-NewNIR	
10601	0652307+471034	L5	15	1.817	0.03	3-NormalNIR	1-NewNIR	
10714	0820299+450031	L5	15	2.061	0.127	4-NormalOptExcl	1-NewNIR	
10742	0835425-081923	L5	15	2.033	0.032	3-NormalNIR	1-NewNIR	
20329	09054654+5623117	L5	15	1.665	0.064	3-NormalNIR		
11073	1228152-154734	L5	15	1.611	0.042	3-NormalNIR		
11163	1343167+394508	L5	15	2.012	0.086	3-NormalNIR	1-NewNIR	
51204	14383259+5722168	L5	15	1.589	0.094	3-NormalNIR		
11296	1507476-162738	L5blue	15	1.518	0.037	4-NormalOptExcl	1-NewNIR	
20752	17461199+5034036	L5blue	15	1.567	0.073	3-NormalNIR	1-NewNIR	
11946	2002507-052152	L5β	15	1.899	0.062	5-WeirdOpt	1-NewNIR	2-NewOpt
20909	21373742+0808463	L5	15	1.755	0.042	3-NormalNIR	1-NewNIR	
20936	22120703+3430351	L5:	15	1.946	0.119	3-NormalNIR	1-NewNIR	
13209	2249091+320549	L5	15	1.894	0.076	3-NormalNIR	1-NewNIR	
20976	22521073-1730134	L5	15	1.412	0.038	4-NormalOptExcl	1-NewNIR	
13039	0103320+193536	L6	16	2.139	0.099	3-NormalNIR	1-NewNIR	
13039	0103320+193536	L6	16	2.139	0.099	3-NormalNIR	1-NewNIR	
10312	0439010-235308	L6.5	16	1.592	0.037	3-NormalNIR	1-NewNIR	
10770	0850359+105715	L6	16	1.992	0.131	3-NormalNIR	1-NewNIR	
20335	09153413+0422045	L6	16	1.537	0.051	3-NormalNIR	1-NewNIR	
20335	09153413+0422045	L6	16	1.537	0.051	3-NormalNIR	1-NewNIR	
10880	1010148-040649	L6	16	1.889	0.075	3-NormalNIR	1-NewNIR	
50933	11181292-0856106	L6blue	16	1.56	0.12	3-NormalNIR		
50174	13314894-0116500	L6blue	16	1.39	0.081	4-NormalOptExcl		
11314	1515009+484739	L6	16	1.611	0.038	3-NormalNIR	1-NewNIR	
50175	15261405+2043414	L6	16	1.664	0.076	3-NormalNIR		
13177	2132114+134158	L6	16	1.956	0.085	3-NormalNIR	1-NewNIR	
40003	21481633+4003594	L6	16	2.382	0.037	4-NormalOptExcl		
20968	22443167+2043433	L6.5	16	2.454	0.158	4-NormalOptExcl		
50207	00150206+2959323	L7blue	17	1.676	0.109	3-NormalNIR		
20052	01075242+0041563	L7	17	2.115	0.073	3-NormalNIR		
10096	0205293-115930	L7	17	1.589	0.042	4-NormalOptExcl	1-NewNIR	
10176	0318540-342129	L7	17	2.062	0.067	3-NormalNIR	1-NewNIR	
10721	0825196+211552	L7.5	17	2.072	0.043	3-NormalNIR	1-NewNIR	
10802	0908380+503208	L7	17	1.604	0.035	3-NormalNIR	1-NewNIR	
11708	1728114+394859	L7	17	2.079	0.09	3-NormalNIR	1-NewNIR	
20925	21522609+0937575	L7:	17	1.847	0.047	3-NormalNIR	1-NewNIR	
10158	0255035-470050	L8	18	1.688	0.036	3-NormalNIR		
20139	02572581-3105523	L8	18	1.796	0.05	3-NormalNIR	1-NewNIR	
50188	0328427+2302052	L8	18	1.777	0.18	3-NormalNIR		
20301	08300825+4828482	L8	18	1.768	0.061	4-NormalOptExcl	1-NewNIR	
20320	08575849+5708514	L8	18	2.076	0.05	3-NormalNIR		
50176	09121469+1459396	L8	18	1.467	0.102	3-NormalNIR		
10926	1043075+222523	L8	18	1.974	0.077	4-NormalOptExcl	1-NewNIR	
50068	15232263+3014562	L8	18	1.712	0.12	3-NormalNIR		
50006	16322911+1904407	L8	18	1.864	0.085	3-NormalNIR	1-NewNIR	
13227	2325453+425148	L8	18	1.729	0.068	3-NormalNIR	1-NewNIR	
