Ref	Designation	J-K	J-K_unc	SpType	ST Text	NStars Publication.Table	NIR Paper: New Prism Data.Table	NIR Paper: New Optical Data.Table
50080	07511645-2530432	1.17	0.034	11	L1.5	4-NormalOptExcl		
20336	09211410-2104446	1.089	0.033	11	L1.5	4-NormalOptExcl	1-NewNIR	
20373	10224821+5825453	1.339	0.036	11	L1β	5-WeirdOpt	1-NewNIR	
10929	1045240-014957	1.38	0.033	11	L1	3-NormalNIR	1-NewNIR	
20387	10484281+0111580	1.301	0.033	11	L1	3-NormalNIR	1-NewNIR	
11115	1300425+191235	1.093	0.03	11	L1blue	4-NormalOptExcl	1-NewNIR	
20581	14392836+1929149	1.213	0.029	11	L1	4-NormalOptExcl		
51218	14403186-1303263	1.128	0.082	11	L1	4-NormalOptExcl		
11756	1807159+501531	1.332	0.035	11	L1.5	3-NormalNIR	1-NewNIR	
20812	19223062+6610194	1.409	0.05	11	L1	4-NormalOptExcl	1-NewNIR	
20869	20343769+0827009	1.384	0.046	11	L1	3-NormalNIR	1-NewNIR	2-NewOpt
12054	2057540-025230	1.397	0.035	11	L1.5:	4-NormalOptExcl	1-NewNIR	
20902	21304464-0845205	1.322	0.046	11	L1	3-NormalNIR		
12147	2238074+435317	1.32	0.038	11	L1.5	3-NormalNIR	1-NewNIR	
12190	2330225-034718	1.354	0.045	11	L1:	3-NormalNIR	1-NewNIR	
20012	00154476+3516026	1.614	0.038	12	L2	3-NormalNIR		
20037	00452143+1634446	1.693	0.03	12	L1.5γ	5-WeirdOpt	1-NewNIR	
20048	00550564+0134365	1.998	0.133	12	L2γ	5-WeirdOpt	1-NewNIR	2-NewOpt
10142	0241536-124106	1.674	0.093	12	L2:	3-NormalNIR		
10244	0408290-145033	1.405	0.038	12	L2	3-NormalNIR	1-NewNIR	
10329	0445538-304820	1.418	0.033	12	L2pec	4-NormalOptExcl	1-NewNIR	
10390	0523382-140302	1.446	0.036	12	L2.5	3-NormalNIR	1-NewNIR	
10397	0536199-192039	1.914	0.097	12	L2γ	5-WeirdOpt	1-NewNIR	2-NewOpt
20240	06160532-4557080	1.559	0.057	12	L2	4-NormalOptExcl	1-NewNIR	
20298	08230838+6125208	1.624	0.046	12	L2:	3-NormalNIR	1-NewNIR	
20307	08355829+0548308	1.365	0.05	12	L2:	3-NormalNIR	1-NewNIR	
10764	0847287-153237	1.452	0.035	12	L2pec	4-NormalOptExcl	1-NewNIR	
10828	0928397-160312	1.707	0.067	12	L2	4-NormalOptExcl	1-NewNIR	
11076	1231214+495923	1.482	0.045	12	L2	4-NormalOptExcl	1-NewNIR	
51060	13023811+5650212	1.388	0.173	12	L2	4-NormalOptExcl		
11122	1305401-254106	1.667	0.035	12	L2	4-NormalOptExcl		
20552	14090310-3357565	1.383	0.039	12	L2	3-NormalNIR		
11213	1430435+291540	1.502	0.038	12	L2	3-NormalNIR	1-NewNIR	
20694	16573454+1054233	1.349	0.047	12	L2	3-NormalNIR		
20866	20282035+0052265	1.505	0.046	12	L2	3-NormalNIR		
12037	2041428-350644	1.486	0.05	12	L2:	3-NormalNIR	1-NewNIR	
12059	2104149-103736	1.472	0.038	12	L2.5	3-NormalNIR	1-NewNIR	
20907	21371044+1450475	1.318	0.045	12	L2	3-NormalNIR		
20013	00165953-4056541	1.884	0.072	13	L3.5	4-NormalOptExcl		
50246	00345684-0706013	1.589	0.088	13	L3	3-NormalNIR		
20029	00361617+1821104	1.408	0.034	13	L3.5	3-NormalNIR	1-NewNIR	
20046	00531899-3631102	1.508	0.039	13	L3.5	4-NormalOptExcl		
10107	0218291-313322	1.574	0.053	13	L3	3-NormalNIR		
10151	0251148-035245	1.397	0.033	13	L3	4-NormalOptExcl		
13119	0325013+225303	1.652	0.069	13	L3.5	3-NormalNIR	1-NewNIR	
10617	0700366+315726	1.606	0.033	13	L3:	3-NormalNIR	1-NewNIR	
20267	07171626+5705430	1.691	0.041	13	L3	4-NormalOptExcl		
20299	08234818+2428577	1.609	0.052	13	L3	3-NormalNIR		
10949	1058478-154817	1.623	0.045	13	L3	3-NormalNIR	1-NewNIR	
20397	11000965+4957470	1.808	0.054	13	L3.5	3-NormalNIR	1-NewNIR	
11010	1146344+223052	1.575	0.038	13	L3	3-NormalNIR		
20435	12070374-3151298	1.853	0.087	13	L3:	3-NormalNIR	1-NewNIR	
11291	1506544+132106	1.624	0.03	13	L3	3-NormalNIR	1-NewNIR	
20625	15394189-0520428	1.347	0.041	13	L3.5	4-NormalOptExcl		
11658	1645220+300407	1.603	0.054	13	L3	3-NormalNIR	1-NewNIR	
11694	1721039+334415	1.136	0.03	13	L3blue	4-NormalOptExcl		
11704	1726000+153819	2.01	0.082	13	L3.5γ	5-WeirdOpt	1-NewNIR	2-NewOpt
20870	20360316+1051295	1.503	0.037	13	L3	3-NormalNIR		
40004	22081363+2921215	1.649	0.112	13	L3γ	5-WeirdOpt	1-NewNIR	
13206	2242531+254257	1.764	0.052	13	L3	3-NormalNIR		
21005	23392527+3507165	1.774	0.066	13	L3.5	4-NormalOptExcl	1-NewNIR	
13016	0025036+475919	1.938	0.069	14	L4	3-NormalNIR	1-NewNIR	
50456	03303511-0025346	1.474	0.069	14	L4	3-NormalNIR		
10196	0337036-175807	2.04	0.071	14	L4.5	3-NormalNIR	1-NewNIR	
20198	05012406-0010452	2.019	0.052	14	L4γ	5-WeirdOpt		
10954	1104012+195921	1.43	0.039	14	L4	3-NormalNIR		
50062	11263991-5003550	1.168	0.043	14	L4.5blue	4-NormalOptExcl		
20570	14283132+5923354	1.516	0.046	14	L4	3-NormalNIR	1-NewNIR	
20622	15382417-1953116	1.93	0.081	14	L4γ	5-WeirdOpt	1-NewNIR	2-NewOpt
20636	15515237+0941148	2.009	0.125	14	L4γ	5-WeirdOpt	1-NewNIR	2-NewOpt
11538	1615425+495321	2.483	0.155	14	L4γ	5-WeirdOpt	1-NewNIR	2-NewOpt
50091	18212815+1414010	1.781	0.032	14	L4.5	3-NormalNIR		
20817	19285196-4356256	1.742	0.057	14	L4	3-NormalNIR		
12091	2151254-244100	2.103	0.095	14	L4	3-NormalNIR	1-NewNIR	
12096	2154345-105530	2.241	0.139	14	L4γ	6-RejectedLowG	1-NewNIR	2-NewOpt
12101	2158045-155009	1.855	0.054	14	L4:	3-NormalNIR		
12113	2206449-421720	1.946	0.086	14	L4γ	5-WeirdOpt	1-NewNIR	
12128	2224438-015852	2.051	0.035	14	L4.5	3-NormalNIR	1-NewNIR	
40005	22495345+0044046	2.229	0.143	14	L4γ	5-WeirdOpt		2-NewOpt
20994	23174712-4838501	1.969	0.048	14	L4pec	3-NormalNIR		
20004	00043484-4044058	1.713	0.035	15	L5	3-NormalNIR		
10088	0144353-071614	1.923	0.035	15	L5	4-NormalOptExcl	1-NewNIR	
13076	0205034+125142	2.008	0.067	15	L5	3-NormalNIR	1-NewNIR	
10170	0310140-275645	1.836	0.094	15	L5	3-NormalNIR	1-NewNIR	
20175	03582255-4116060	2.008	0.1	15	L5	3-NormalNIR	1-NewNIR	
20244	06244595-4521548	1.885	0.039	15	L5	3-NormalNIR	1-NewNIR	
10601	0652307+471034	1.817	0.03	15	L5	3-NormalNIR	1-NewNIR	
10714	0820299+450031	2.061	0.127	15	L5	4-NormalOptExcl	1-NewNIR	
10742	0835425-081923	2.033	0.032	15	L5	3-NormalNIR	1-NewNIR	
20329	09054654+5623117	1.665	0.064	15	L5	3-NormalNIR		
11073	1228152-154734	1.611	0.042	15	L5	3-NormalNIR		
11163	1343167+394508	2.012	0.086	15	L5	3-NormalNIR	1-NewNIR	
11296	1507476-162738	1.518	0.037	15	L5blue	4-NormalOptExcl	1-NewNIR	
20752	17461199+5034036	1.567	0.073	15	L5blue	3-NormalNIR	1-NewNIR	
20909	21373742+0808463	1.755	0.042	15	L5	3-NormalNIR	1-NewNIR	
20936	22120703+3430351	1.946	0.119	15	L5:	3-NormalNIR	1-NewNIR	
13209	2249091+320549	1.894	0.076	15	L5	3-NormalNIR	1-NewNIR	
20976	22521073-1730134	1.412	0.038	15	L5	4-NormalOptExcl	1-NewNIR	
13039	0103320+193536	2.139	0.099	16	L6	3-NormalNIR	1-NewNIR	
10312	0439010-235308	1.592	0.037	16	L6.5	3-NormalNIR	1-NewNIR	
10770	0850359+105715	1.992	0.131	16	L6	3-NormalNIR	1-NewNIR	
20335	09153413+0422045	1.537	0.051	16	L6	3-NormalNIR	1-NewNIR	
10880	1010148-040649	1.889	0.075	16	L6	3-NormalNIR	1-NewNIR	
50933	11181292-0856106	1.56	0.12	16	L6blue	3-NormalNIR		
50174	13314894-0116500	1.39	0.081	16	L6blue	4-NormalOptExcl		
11314	1515009+484739	1.611	0.038	16	L6	3-NormalNIR	1-NewNIR	
50175	15261405+2043414	1.664	0.076	16	L6	3-NormalNIR		
13177	2132114+134158	1.956	0.085	16	L6	3-NormalNIR		
40003	21481633+4003594	2.382	0.037	16	L6	4-NormalOptExcl		
20968	22443167+2043433	2.454	0.158	16	L6.5	4-NormalOptExcl		
50207	00150206+2959323	1.676	0.109	17	L7blue	3-NormalNIR		
20052	01075242+0041563	2.115	0.073	17	L7	3-NormalNIR		
10096	0205293-115930	1.589	0.042	17	L7	4-NormalOptExcl	1-NewNIR	
10176	0318540-342129	2.062	0.067	17	L7	3-NormalNIR	1-NewNIR	
10721	0825196+211552	2.072	0.043	17	L7.5	3-NormalNIR	1-NewNIR	
10802	0908380+503208	1.604	0.035	17	L7	3-NormalNIR	1-NewNIR	
11708	1728114+394859	2.079	0.09	17	L7	3-NormalNIR	1-NewNIR	
20925	21522609+0937575	1.847	0.047	17	L7:	3-NormalNIR	1-NewNIR	
20925	21522609+0937575	1.847	0.047	17	L7:	3-NormalNIR	1-NewNIR	
10158	0255035-470050	1.688	0.036	18	L8	3-NormalNIR		
20139	02572581-3105523	1.796	0.05	18	L8	3-NormalNIR	1-NewNIR	
50188	0328427+2302052	1.777	0.18	18	L8	3-NormalNIR		
20301	08300825+4828482	1.768	0.061	18	L8	4-NormalOptExcl	1-NewNIR	
20320	08575849+5708514	2.076	0.05	18	L8	3-NormalNIR		
50176	09121469+1459396	1.467	0.102	18	L8	3-NormalNIR		
10926	1043075+222523	1.974	0.077	18	L8	4-NormalOptExcl	1-NewNIR	
50068	15232263+3014562	1.712	0.12	18	L8	3-NormalNIR		
50006	16322911+1904407	1.864	0.085	18	L8	3-NormalNIR	1-NewNIR	
13227	2325453+425148	1.729	0.068	18	L8	3-NormalNIR	1-NewNIR	
